Date,Close/Last
2020-02-03,308.66
2020-02-04,318.85
2020-02-05,321.45
2020-02-06,325.21
2020-02-07,320.03
2020-02-10,321.55
2020-02-11,319.61
2020-02-12,327.2
2020-02-13,324.87
2020-02-14,324.95
2020-02-18,319.0
2020-02-19,323.62
2020-02-20,320.3
2020-02-21,313.05
2020-02-24,298.18
2020-02-25,288.08
2020-02-26,292.65
2020-02-27,273.52
2020-02-28,273.36
2020-03-02,298.81
2020-03-03,289.32
2020-03-04,302.74
2020-03-05,292.92
2020-03-06,289.03
2020-03-09,266.17
2020-03-10,285.34
2020-03-11,275.43
2020-03-12,248.23
2020-03-13,277.97
2020-03-16,242.21
2020-03-17,252.86
2020-03-18,246.67
2020-03-19,244.78
2020-03-20,229.24
2020-03-23,224.37
2020-03-24,246.88
2020-03-25,245.52
2020-03-26,258.44
2020-03-27,247.74
2020-03-30,254.81
2020-03-31,254.29
2020-04-01,240.91
2020-04-02,244.93
2020-04-03,241.41
